location_name,latitude,longitude
Embassy Kathmandu,27.738703,85.336206
Phora Durbar Kathman,27.712464,85.315703
"Dhathutole, Handigaun",27.727502,85.330135
"Dabali, Handigaun",27.68189114,85.28707804
Gaushala Chowk (SC-01) - GD Labs,27.707763,85.343189
Baluwatar (SC-02) - GD Labs,27.7249438,85.331062
Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
Sifal(SC-03)- GD Labs,27.710794,85.340591
Lamtangil (SC-04)- GD Labs,27.731368,85.336783
Pulchowk (SC-44) - GD Labs,27.6773887,85.3184176
Nakhipot (SC-08) - GD Labs,27.6510811,85.3178568
Sunakothi (SC - 06) - GD Labs,27.630412,85.320402
Chovar (SC - 07) - GD Labs,27.6662854,85.2937189
Taudaha (SC - 09) - GD Labs,27.651121,85.283954
"CEN-SR-25: Patako Chowk, Patan Durbar Square",27.673979,85.325392
Bharatpur Ward no 27 office Meghauli,27.57961,84.23604
Farsidol Relocated,27.609972,85.296917
Hetauda Sub-Metropolitan City Office (CEN-SR-15),27.43358,85.03828
CEN-SR-02: Farsidol Brick Factories,27.6175,85.2961
Hetauda Udhyog Sang Office (CEN-SR-18),27.40233,85.02521
Shantichowk (SC-11) - GD Labs,27.7239866,85.2793095
Gothatar (SC-12) - GD Labs,27.7109112,85.3803717
Gokarneshwor (SC-13) - GD Labs,27.7206848,85.381682
CEN_SR-09: Dhangadhdi Sub-metropolitan City Office,28.70728,80.585126
CEN-SR-14: Dhangadhi Sub-metropolitan Ward 8,28.699953,80.600298
Mahankal (SC-16) - GD Labs,27.7258555,85.3581047
Chhetrapati (SC - 19) - GD Labs,27.7119136,85.3061473
Tarakeswor (SC-14)-GD Labs,27.759667,85.289631
Golfutar (SC- 17) - GD Labs,27.74857,85.349052
Tankeshwor (SC- 18) - GD Labs,27.7003531,85.3015259
Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
Ramkot (SC - 10) - GD Labs,27.695671,85.337428
Sundarighat (SC-23) - GD Labs,27.6737702,85.2948301
Kritipur Ward 3 (SC-25) - GD Labs,27.6774083,85.2727816
Tyanglaphat (SC - 21) - GD Labs,27.6861651,85.28026
Sanepa (SC - 22) - GD Labs,27.6854882,85.3091634
Balaju (SC-26)- GD Labs,27.738289,85.302611
"CEN-SR-17: Bhaluwang, Dang",27.841728,82.763938
CEN-SR-08/ Birendranagar Municipality,28.595355,81.62317
Tarakeswor (SC-15)- GD Labs,27.759288,85.289453
CEN-SR-10: Siddharthanagar Municipality Ward no. 4,27.509584,83.421013
CEN-SR-07: Siddharthanagar Municipality City Office Ward No. 5,27.505918,83.451909
CEN-SR-16: Pokhara Metropolitan City Ward No. 7 Office,28.205667,83.973964
"CEN-SR-12: Lamahi Municipality Office, Dang",27.867904,82.526074
CEN-SR-22:Birendranagar Ward 12 Sahakari Chowk,28.59776,81.640329
"CEN-SR-05: Shree Vindhyavasini Secondary School, Pokhara",28.262683,83.979606
Sitapaila (SC-30) - GD Labs,27.7093728,85.2808987
Tokha (SC-31) - GD Labs,27.7560283,85.3268462
Imadol(SC-27)- GD Labs,27.661062,85.347716
Balkumari(SC-28)- GD Labs,27.671069,85.338037
Tokha (SC - 32) - GD Labs,27.7376474,85.319391
Kaushaltar (SC - 33) GD labs,27.6724803,85.3617649
CEN-SR-04: Birgunj Metropolitan City Ward No 25,27.0264126,84.852162
Kadhaghari (SC-42)-GD Labs,27.696521,85.369882
Jadibuti (SC-35)-GD Labs,27.682109,85.354791
CEN-SR-13: Birgunj Metropolitan City Office,27.0118695,84.8709016
Purano naikap (SC-29)-GD Labs,27.705718,85.255141
CEN-SR-11: Janakpurdham Sub-metropolitian City Office,26.7303,85.9317
CEN-SR-03:Biratnagar metropolitan city office ,26.465215,87.283333
Khokana (SC-41)-GD Labs,27.637633,85.301661
Kupondole (SC-40)-GD Labs,27.689661,85.310442
Mid Baneshwor (SC-39)-GD Labs,27.693662,85.340501
Ranibari (SC-43)-GD Labs,27.727562,85.321155
Sorakhutte (SC-36)-GD Labs,27.71847,85.310271
CEN-SR-06: Biratnagar Metropolitan City ward no 9 Office,26.45611111,87.28388889
Pulchowk (SC-15)-GD Labs,27.676946,85.318494
"Haugal Ganesh Temple, Patan Durbar Square",27.671944,85.324444
"CEN-SR-20: Janakpurdham SMC-08, Rajarshi Janak University",26.739072,85.916906
CEN-SR-19 : Bharatpur Ward 02,27.69765,84.4323
Tripureshowr (SC-24)- GD Labs,27.692998,85.312458
Kathmandu University,27.620041043666568,85.53943575377038
Kathmandu University,27.619955487891527,85.53940356726346
Kathmandu University,27.619955487891527,85.53940356726346
Bagdol,27.671706,85.301619
Pulchowk Engineering Campus - ICE Labs,27.681232,85.319189
Herne Katha,27.6838241,85.3101773
" FHI-OU-08: Amda Hospital, BSMC",27.691597,83.479915
"FHI-OU-09: Lumbini Provincial Hospital, BSMC",27.697469,83.463837
FHI-OU-07: BSMC Ward No. 18 Office,27.643874,83.429237
"FHI-OU-10: Bhim Hospital, Siddharthanagar",27.505767,83.454012
"FHI-OU-05: Nayagaun Secondary School, BSMC",27.66345,83.409495
Sainamaina Municipality Ward No. 10,27.702036,83.262739
Kalika Manavgyan Secondary School,27.68177293822668,83.4657068161905
"FHI-OU-06: Semlar Health Post, BSMC",27.66345,83.409495
FHI-OU-01: Butwal Sub-metro City Office,27.707793,83.464583
FHI-OU-02: Sainamaina Municipal Hospital,27.685927,83.338978
