location_name,date,temperature_c,precipitation_mm,humidity_pct,o3,pm1,pm10,pm25,relativehumidity,temperature,um003,year,month,tourist_arrivals
Embassy Kathmandu,2021-01-01,13.61,0.0,43.79,0.0194,,,109.0,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-02,13.9,0.0,42.38,0.0032,,,131.0,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-03,15.05,0.0,42.59,0.0277,,,105.0,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-04,16.34,0.0,47.81,0.0119,,,265.0,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-05,16.47,0.0,53.05,0.0162,,,258.0,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-06,16.78,0.0,49.02,0.016,,,108.0,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-07,16.32,0.0,46.39,0.0189,,,81.0,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-08,14.75,0.0,50.04,0.0199,,,67.7,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-09,15.62,0.0,45.75,0.0221,,,76.0,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-10,15.08,0.0,53.32,0.0203,,,76.4,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-11,13.52,0.0,57.73,0.0213,,,81.0,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-12,11.34,0.0,58.81,0.0237,,,91.1,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-13,10.14,0.0,48.68,0.0253,,,97.6,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-14,9.99,0.0,50.49,0.0278,,,86.3,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-15,11.25,0.0,49.4,0.0227,,,95.1,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-16,11.39,0.0,47.46,0.0279,,,82.3,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-17,11.26,0.0,42.62,0.0302,,,72.3,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-18,13.44,0.0,44.3,0.0258,,,76.0,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-19,11.86,0.0,58.94,0.0268,,,67.1,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-20,10.99,0.0,63.9,0.0253,,,66.4,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-21,10.22,0.0,51.77,0.0283,,,75.5,,,,2021,Jan,8874
Embassy Kathmandu,2021-01-22,9.77,0.0,48.31,0.0273,,,84.9,,,,2021,Jan,8874
Embassy Kathmandu,2021-02-04,13.24,0.0,35.31,0.0377,,,,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-05,13.24,0.05,41.7,0.0154,,,78.8,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-06,11.12,0.54,61.75,0.0305,,,47.5,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-07,11.36,0.0,49.07,0.0274,,,40.4,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-08,13.14,0.06,37.35,0.0274,,,71.3,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-09,13.89,0.0,36.77,0.0308,,,74.6,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-10,13.47,0.0,43.25,0.0303,,,79.3,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-11,13.69,0.0,45.12,0.0338,,,75.3,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-12,14.32,0.0,44.64,0.0321,,,88.0,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-13,14.05,0.0,46.9,0.033,,,87.0,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-14,13.9,0.02,47.12,0.032,,,86.3,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-15,13.83,0.18,46.11,0.0175,,,95.2,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-16,13.95,0.15,43.1,0.0418,,,64.9,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-17,14.36,0.07,42.17,0.0268,,,65.0,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-18,13.56,0.56,51.53,0.0347,,,46.4,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-19,13.8,1.05,52.54,0.0309,,,35.8,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-20,15.09,0.0,42.98,0.0375,,,43.8,,,,2021,Feb,9266
Embassy Kathmandu,2021-02-21,15.76,0.0,37.0,0.0329,,,60.8,,,,2021,Feb,9266
