year,month,tourist_arrivals
2021,Jan,8874
2021,Feb,9266
2021,Mar,15254
2021,Apr,22732
2021,May,1531
2021,Jun,1187
2021,Jul,3093
2021,Aug,6093
2021,Sep,9907
2021,Oct,23338
2021,Nov,26135
2021,Dec,23552
2022,Jan,16975
2022,Feb,19856
2022,Mar,42152
2022,Apr,61589
2022,May,54093
2022,Jun,46957
2022,Jul,44462
2022,Aug,41304
2022,Sep,58314
2022,Oct,88582
2022,Nov,72653
2022,Dec,67932
2023,Jan,55074
2023,Feb,73255
2023,Mar,99426
2023,Apr,98773
2023,May,77703
2023,Jun,72250
2023,Jul,57726
2023,Aug,67153
2023,Sep,91012
2023,Oct,117306
2023,Nov,108630
2023,Dec,96574
2024,Jan,79101
2024,Feb,97423
2024,Mar,128167
2024,Apr,111382
2024,May,90205
2024,Jun,76733
2024,Jul,64598
2024,Aug,72717
2024,Sep,96302
2024,Oct,124391
2024,Nov,114496
2024,Dec,92033
2025,Jan,79990
2025,Feb,99585
2025,Mar,121632
2025,Apr,116487
2025,May,86216
2025,Jun,76425
2025,Jul,70193
2025,Aug,88681
2025,Sep,79981
2025,Oct,128443
2025,Nov,116552
2025,Dec,98180
